epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/B1,val/AP/B2,val/AP/B3,val/AP/B4,val/F1,val/cardinality_error,val/cardinality_error_0,val/cardinality_error_1,val/cardinality_error_2,val/cardinality_error_enc,val/class_error,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/loss_bbox,val/loss_bbox_0,val/loss_bbox_1,val/loss_bbox_2,val/loss_bbox_enc,val/loss_ce,val/loss_ce_0,val/loss_ce_1,val/loss_ce_2,val/loss_ce_enc,val/loss_giou,val/loss_giou_0,val/loss_giou_1,val/loss_giou_2,val/loss_giou_enc,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
7,2549,,,,,,,,,,,,,,,,,,,,,,,9.672737360233441e-05,9.672737360233441e-05,3.126774345219019e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2591,,,,,,,,,,,,,,,,,,,,,,,,,,0.3470868766307831,0.23244710266590118,0.25313717126846313,0.15611916780471802,0.5850409269332886,294.9566955566406,296.57550048828125,293.0791931152344,295.36260986328125,296.695556640625,26.529830932617188,0.5884367227554321,0.25105172395706177,0.5219167470932007,8.820289611816406,0.05429014191031456,0.05616288632154465,0.0547112300992012,0.0545087568461895,0.057799916714429855,0.8506320714950562,0.8553418517112732,0.8519870042800903,0.8495944142341614,0.8515819907188416,0.31342601776123047,0.319403737783432,0.31438061594963074,0.31407469511032104,0.3256102502346039,0.5829892158508301,0.24719758331775665,0.15533816814422607,0.5147194862365723,0.5858114957809448,0.6003281474113464
7,2591,3891.82177734375,3893.09326171875,3879.97998046875,3883.5791015625,3896.537841796875,25.342920303344727,8.492936134338379,0.04993434622883797,0.05110347270965576,0.05071999132633209,0.05019542947411537,0.053925856947898865,0.8486292362213135,0.8569827675819397,0.8470202684402466,0.8482649326324463,0.8544817566871643,0.2908545136451721,0.2949739694595337,0.29374930262565613,0.29174840450286865,0.30775365233421326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2599,,,,,,,,,,,,,,,,,,,,,,,9.658037015469745e-05,9.658037015469745e-05,3.1220224627759308e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2649,,,,,,,,,,,,,,,,,,,,,,,9.643025987315923e-05,9.643025987315923e-05,3.1171700811682967e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2699,,,,,,,,,,,,,,,,,,,,,,,9.627705003367737e-05,9.627705003367737e-05,3.1122174277697923e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2749,,,,,,,,,,,,,,,,,,,,,,,9.612074063625187e-05,9.612074063625187e-05,3.1071647299540928e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2799,,,,,,,,,,,,,,,,,,,,,,,9.596136078471318e-05,9.596136078471318e-05,3.102012442468549e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2849,,,,,,,,,,,,,,,,,,,,,,,9.579890320310369e-05,9.579890320310369e-05,3.0967610200605122e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2899,,,,,,,,,,,,,,,,,,,,,,,9.563338971929625e-05,9.563338971929625e-05,3.0914106901036575e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
